account_id,per_transaction_amount_limit,transaction_volume_limit_per_day
7106e080-9008-425a-86cb-87bdb6622a68,1948500,7
cca91bc9-b1ff-4add-853c-51f7eb177a00,645600,5
2f7c152a-5f13-4355-ae0d-f415da86bf2b,900700,7
87b51046-7924-484a-88e7-ba863520eb64,1932900,4
a4100bef-da3e-4d23-adef-7a4b79c9ab14,1240900,6
f27b7206-dd0e-4d34-93d5-17ded12b5896,1549900,3
096b8a24-3ea3-4f70-8175-1f8bb9b5975a,1188600,7
747fcca6-4693-4978-964c-ced2cc22301e,1882000,6
5c885a17-080d-49d7-930f-2de5b9e1e35b,1629800,3
fc4ef5c5-d869-464f-ad51-536275fdbd75,1713500,7
11f3957c-ce5a-4c0c-bb63-988c04fd2db8,703600,6
e6f26c77-7945-4654-b746-a0edbacebf94,1726200,9
3e2e178e-d8cb-4be8-ac2c-674c4cecbb31,1229500,9
eb6badf4-0fb7-4831-b7c1-9426235ebd45,1447300,8
759c2c07-8549-4797-a3fd-6f14f5f3b2e2,665000,8
dd5f5db7-9f13-40d7-993a-5149836386b6,1887800,3
a206f6e1-7062-4b9f-adca-4cdd4a2a6715,767900,6
99c880db-093b-4270-8d6c-9109f07cd359,759100,4
6a881a9a-5603-4212-a879-4a5f41f17dfb,601700,5
650d498a-4302-4aba-947c-79bdfeedc649,1983900,5
c152780b-cac1-4322-859b-9aa36da7e15a,727700,4
7846309f-ccfa-43dc-960f-250c6a76c465,970700,6
88912835-40fd-4143-83e6-c407a3e1299d,1283300,7
6d71f9dd-2506-4c9f-a6d0-8ce524d45d63,192400,6
a49ae0a8-cf30-42a3-a531-581560a3a6fe,1067200,7
0562186e-365c-4eef-87ed-be823f155d7f,1693900,8
8eda20b7-d1f5-4819-b130-2e8599a4aa61,466200,8
402c5422-011c-4581-89e6-c693f0d18c64,1965400,9
90c7f2ba-cb1a-4ecb-802e-dda465d1502f,283800,3
ac074a12-90e9-41aa-aea0-c27c3950175e,518300,5
436232bc-2264-444a-b03b-2bc6059d7b3e,1343700,8
edab2714-84eb-476e-a205-93a6717a3b7f,358900,8
